,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,totalDistance,numberOfEvents,stdLength,CI95_low,CI95_up
22,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Oral-genital Contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,365,5.703125,,7046.196211322124,64,9.853108150952927,3.289113503016533,8.117136496983466
23,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Oral-genital Contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,170,3.090909090909091,,7046.196211322124,55,5.0534334944317445,1.7553556174791858,4.426462564338996
24,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Side by side Contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,222,5.045454545454546,,7046.196211322124,44,5.200325800346749,3.5088564656356622,6.5820526252734295
25,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Side by side Contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,222,5.045454545454546,,7046.196211322124,44,5.200325800346749,3.5088564656356622,6.5820526252734295
26,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,"Side by side Contact, opposite way",1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,370,10.882352941176471,,7046.196211322124,34,15.979333538856393,5.511104078045615,16.253601804307326
27,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,"Side by side Contact, opposite way",2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,370,10.882352941176471,,7046.196211322124,34,15.979333538856393,5.511104078045615,16.253601804307326
28,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Social approach,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,12267,1.7622468036201695,,7046.196211322124,6961,2.223650754451999,1.7100087685458665,1.8144848386944725
29,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Social approach,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,23000,2.286736925830185,,7046.196211322124,10058,2.8941189863736256,2.2301759832791386,2.343297868381231
30,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Social escape,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,517,2.238095238095238,,7046.196211322124,231,2.0321067500856245,1.9760377343058653,2.500152741884611
31,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Social escape,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,847,2.3205479452054796,,7046.196211322124,365,2.349873730452579,2.079471840590783,2.561624049820176
32,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Approach contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,139,4.212121212121212,,7046.196211322124,33,5.525464882444354,2.326875661510392,6.097366762732031
33,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Approach contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,1113,5.036199095022624,,7046.196211322124,221,8.432245372598546,3.9244592523507498,6.147938937694499
34,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Approach rear,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,49,2.8823529411764706,,7046.196211322124,17,4.957256747805969,0.5258226681388587,5.238883214214082
35,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Approach rear,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,171,3.489795918367347,,7046.196211322124,49,4.2191132107210985,2.3084442193654393,4.671147617369255
36,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Break contact,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,491,3.806201550387597,,7046.196211322124,129,8.65450325882727,2.31270796373322,5.299695137041974
37,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Break contact,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,2552,5.316666666666666,,7046.196211322124,480,8.376538001399437,4.567290259862934,6.066043073470399
38,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Get away,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,2571,4.153473344103393,,7046.196211322124,619,6.024776527044318,3.678847164624568,4.628099523582218
39,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,Get away,2,1,,,000004849076,000004849319,,,NaCl,NaCl,,,2421,3.4243281471004243,,7046.196211322124,707,4.80874697424741,3.069859122251268,3.7787971719495808
40,221019_Amphet_Cage1_3-2NaCl,221019,Cage1,3-2NaCl,1,1,44226,152226,FollowZone Isolated,1,2,,,000004849319,000004849076,,,NaCl,NaCl,,,79,1.6808510638297873,,7046.196211322124,47,1.07399399694672,1.373801138372278,1.9879009892872967
